,rating,date,variation,verified_reviews,feedback
1441,positive,30-Jul-18,White  Show,excited see,1
1442,positive,30-Jul-18,Black  Show,great music  video calling  kitchen timers  probably bunch  reason gave 4 instead 5 stars ever floating  things try  home screen  purely aesthetic complaint  hopefully soon amazon allows option shut ,1
1443,positive,30-Jul-18,White  Show,love idea star trek computer home  skills great  natural language work mediocre ,1
1444,positive,30-Jul-18,White  Show,got gift  cool   view news  recipes shopping lists   much ,1
1445,positive,30-Jul-18,Black  Show,love  easy set far  wish little set instructions  still whole lot would like able idea  really like ,1
1446,positive,30-Jul-18,Black  Show,second one  one kitchen wanted another home office amazing quick look working  live busy life helps keep track work personal appointments buy holiday gifts whole family  gift organization information voice command away ,1
1447,negative,30-Jul-18,White  Show, ,0
1448,negative,30-Jul-18,White  Show,waste money   echo gen 1  echo gen 2 dot  far better job voice recognition echo show   fact  bad virtually useless   also  speaker incredibly bass heavy much hard understand voices   i've worked adjust bass punch mids treble  still sounds awful   finally  screen add much   can't see across room  rarely activates meaningful way   distraction help using facetime much practicalthan using show  i'm surprised amazon make little useful   perhaps future   waste time money ,0
1449,positive,30-Jul-18,Black  Show,love  everything ,1
1450,negative,30-Jul-18,Black  Show,thought would powerful lot functionality  much better echo dot  worth money ,0
1451,positive,30-Jul-18,Black  Show,purchased echo 2 weeks ago   love product  would definitely recommend,1
1452,positive,30-Jul-18,Black  Show,i'm loving new echo show  video screen adds much value potential  movies  tv shows  song lyrics  extra features available echo show  oh  also built camera taking pics ,1
1453,positive,30-Jul-18,Black  Show,wife using skype years talk parents daily  constant technical issues   since father 88  lot ask man uninstall reinstall reconfigure skype    saw sale  jumped   wife resistant  #34 learn new technology #34  told work   like video phones saw new york world's fair 1964   54 years ago yesterday set quickly worked fine  issues   wife told co worker today went bought 3   one husband  one set parents   works  like telephone   imagine ,1
1454,positive,30-Jul-18,White  Show,bluetooth sound great  videos crazy  it’s amazing device ,1
1455,positive,30-Jul-18,Black  Show,great item knowledge  directions  music laughter,1
1456,positive,30-Jul-18,Black  Show,nice needs work,1
1457,positive,30-Jul-18,Black  Show,cool ,1
1458,positive,30-Jul-18,Black  Show,enjoy using   great sound   love shopping list,1
1459,neutral,30-Jul-18,Black  Show,echo show ok  however constant suggestions ask alexa sooooo annoying way eliminate  also  thought could weather area displayed continuously   talk alexa  want middle night  payed full price would returned  features nice  may never use ,1
1460,positive,30-Jul-18,Black  Show,held purchasing echo resist prime days   echo works great nice screen   still lot need learn ,1
1461,positive,30-Jul-18,Black  Show, ,1
1462,positive,30-Jul-18,White  Show,love much  still learning everything echo  really enjoying whole process ,1
1463,positive,30-Jul-18,White  Show,love  still learning possibilities ,1
1464,positive,30-Jul-18,Black  Show,love echo show awesome speakers love fact listen music words come around liking far  also able read what's shopping list list notifications,1
1465,positive,30-Jul-18,Black  Show,nice works great,1
1466,positive,30-Jul-18,Black  Show,easy set sooooooo many things   awesome ,1
1467,positive,30-Jul-18,Black  Show,met every expectation,1
1468,positive,30-Jul-18,Black  Show,like,1
1469,positive,30-Jul-18,Black  Show,unit working great  true pia products today shipped without user manuals  manufacturers truly believe user magically know full capabilities product purchased  idea echo show's capabilities  linked hue lights  idea commands work   purchased fire tv stick along show  idea maximize two  examples even purchased text users found helpful  seems way basic  better kick pants ,1
1470,positive,30-Jul-18,Black  Show,fun item   lot udefulness   big negative use google  real search engine  get answers find information ,1
1471,positive,30-Jul-18,Black  Show,pleasantly surprised  it’s awesome far,1
1472,positive,30-Jul-18,Black  Show,alexa show amazing  wife hated bought  thought need day fell love alexa lol  convenient setting timers  listening music  playing music dog im home  connecting bluetooth speakers parties  playing movies  love ,1
1473,negative,30-Jul-18,White  Show,understand excitement alexa devices google ones either   rarely gets say correct  control dish receiver   yes set correctly  using alexa app phone   got 129   good deal  ti definately worth 229 price though   maybe another month get better  either one deaf dumb   really recommend item current time,0
1474,positive,30-Jul-18,White  Show,makes talking grandchildren easy  especially little ones   outstanding product ,1
1475,positive,30-Jul-18,Black  Show,great product ,1
1476,positive,30-Jul-18,Black  Show,already purchased echo couple dots hesitated purchase price dropped   glad   versatility video screen outstanding   regrets ,1
1477,positive,30-Jul-18,White  Show,purchased  show   keep touch daughter family recent move half way across country   wonderful seeing faces conversations ,1
1478,positive,30-Jul-18,Black  Show,difficulty dont cell phone cant download alexa app mac book air   stuck  unable program echo show properly  opinion able tell echo show need done  echo show  every time ask something referred back alexa app mobile device  cannot access intelagence dependence equipment function every thing today pushed phone   phone made accessable   wish  gather information,1
1479,positive,30-Jul-18,Black  Show,great kitchen   love cook fun look recipes   also great listening music watching shows amazon prime video cook   subsequently bought echo dot ihome clock docking station bedroom   created group play music time   plan add speakers future ,1
1480,positive,30-Jul-18,Black  Show,excellent quality  good sound  great deal prime day ,1
1481,positive,30-Jul-18,Black  Show,far good   neat visual version alexa's responses  nice see lyrics music listening   flash briefings good videos   speaker much better dot highest quality,1
1482,positive,30-Jul-18,Black  Show,it’s fun,1
1483,positive,30-Jul-18,Black  Show,fun far  learning use ,1
1484,positive,30-Jul-18,Black  Show,works great  nice sound picture,1
1485,positive,30-Jul-18,White  Show,product even better imagined  love timer setting  reminds put clothes dryer ask  love shopping list feature   family enjoys games  it’s made life little easy  alexa personal assistant   ,1
1486,positive,30-Jul-18,Black  Show,love ,1
1487,negative,30-Jul-18,White  Show,disappointed   alexa doesn’t hear doesn’t respond requests ,0
1488,positive,30-Jul-18,Black  Show,highly like eco show complaints,1
1489,positive,30-Jul-18,Black  Show,love  glad got prime day  although  would totally pay full price ,1
1490,positive,30-Jul-18,Black  Show,great addition alexa family   nice  #34 visual #34  part pics  recipes  etc ,1
1491,positive,30-Jul-18,Black  Show,love   use every day finding new ways use longer ,1
1492,negative,30-Jul-18,Black  Show,4 shows   broken   anything screens lose lines resolution timers reminders going hour late reminders trigger trying set reminders   issues dot echo   show   would nice amazon could get act together actually fix thing ,0
1493,positive,30-Jul-18,Black  Show,easy set,1
1494,positive,30-Jul-18,Black  Show,pleased echo  loud hear voice understand much better previous versions ,1
1495,positive,30-Jul-18,Black  Show,love   great request music able see lyrics   dot  much better ,1
1496,positive,30-Jul-18,Black  Show,liked actually seeing words song  least would guess expected little currently available ,1
1497,positive,30-Jul-18,White  Show,i’m learning product  know love  ,1
1498,positive,30-Jul-18,Black  Show,easy use ,1
1499,positive,30-Jul-18,Black  Show,needs ,1
1500,positive,30-Jul-18,White  Show,love product   i'm computer literate everything voice controlled   use keep touch daughter  lives town   drop  like living net door ,1
1501,positive,30-Jul-18,Black  Show,enjoy seeing lyrics screen different amazon music stations,1
1502,positive,30-Jul-18,White  Show,love echo show great  kitchen  recipes,1
1503,negative,30-Jul-18,White  Show,alexa pretty dumb  ,0
1504,positive,30-Jul-18,White  Show,problem slow internet  really like speaker  tons fun,1
1505,positive,30-Jul-18,White  Show,love echo show  alexa amazing show  #34 #34  display lyrics  photos  etc  speakers amazing fills room  bought prime day got great deal  worth ,1
1506,positive,30-Jul-18,Black  Show,love echo show   everything device wonderful,1
1507,positive,30-Jul-18,White  Show,used fun  great play music  turn lights know else ,1
1508,positive,30-Jul-18,Black  Show,works great   seems delay bringing ring cameras sound video quality good,1
1509,positive,30-Jul-18,White  Show,works great  use arlo security system,1
1510,positive,30-Jul-18,Black  Show,fun  really enjoy using  hooked one lights tell alexa want  also  connects spotify alexa resume playlist pick right ended  feel like there's even  i'm excited use ,1
1511,positive,30-Jul-18,White  Show,upgraded original echo prime day far love  i'm sure long way go maximize utility   owe marked increase lyrical knowledge thing  knew post malone actually used words ,1
1512,neutral,30-Jul-18,Black  Show,can't access youtube  consumer's pay argument  can't good product offers need ,1
1513,positive,30-Jul-18,Black  Show, ,1
1514,positive,30-Jul-18,White  Show,still learning echo show far love  9 year old loves cook especially aunt lives state connect cook together ,1
1515,positive,30-Jul-18,Black  Show,love desk  fact video friends  listen music words right  see amazon cloud cam feeds one location pretty spectacular  got one sale  stellar  thinking need another one front room ,1
1516,positive,30-Jul-18,Black  Show,love ,1
1517,positive,30-Jul-18,Black  Show,love echo show  great sound picture  great job thing entire echo collection ,1
1518,positive,30-Jul-18,White  Show,can’t change voice echo,1
1519,positive,30-Jul-18,Black  Show,everything could ask  great product ,1
1520,positive,30-Jul-18,Black  Show,like clear screen  hi resolution,1
1521,positive,30-Jul-18,White  Show,easy use everything hoped,1
1522,positive,30-Jul-18,White  Show,love echo show  i’m going live campus school fall got two serve easy way connect  people might like camera makes little sense  carry devices cameras time  difference item stationary  family also find drop feature comfort rather invasion privacy  it’s definitely source relief parents easily pop onme visa versa i’d also like thank amazon including voiceview screen reader device  show would lot less blind friendly  even alexa present  hadn’t included echo loving household two dots  three echos  two shows  wouldn’t surprised got future loved ones  thanks  amazon ,1
1523,positive,30-Jul-18,Black  Show,love awesome,1
1524,positive,30-Jul-18,Black  Show,good able listen every single song time amazon's vast library  we're beginning know everything echo show offer  well worth price  alexa helpful ,1
1525,positive,30-Jul-18,Black  Show,love ,1
1526,positive,30-Jul-18,Black  Show,great sound screen nice actually see time  trivia  etc ,1
1527,positive,30-Jul-18,Black  Show,perfect able see canary cameras that’s exactly wanted  happy alexa’s several great addition ,1
1528,positive,30-Jul-18,Black  Show,really love item   much fun ,1
1529,positive,30-Jul-18,Black  Show,agree  youtube ,1
1530,positive,30-Jul-18,White  Show,like lot  sound better original echo  bass feels deeper   screen cool  though  havent got lot use though ,1
1531,positive,30-Jul-18,Black  Show,good sound  capacity join different apps make work smart home,1
1532,positive,30-Jul-18,Black  Show,great addition alexa family  wish could use screen backgrounds  get wrong regret buying especially primeday sale $100 sale price skills show lacking ,1
1533,positive,30-Jul-18,Black  Show,i've previous experience echo dot blows previous expectations water great since play videos music multiple sources speakers pretty loud ,1
1534,positive,30-Jul-18,White  Show,love echo show  keep video chat kids grandkids  kitchen  run something alexa add grocery list  use everything  easy set,1
1535,positive,30-Jul-18,Black  Show,i’m really hoping skills take advantage shows touch screen  there’s incredible amount untapped potential locked behind restrictions  make use best part show enable skills navigate touch please ,1
1536,positive,30-Jul-18,Black  Show,love l  plan getting echo kitchen ,1
1537,neutral,30-Jul-18,Black  Show,pick voice unless yell times ,1
1538,positive,30-Jul-18,White  Show,great love,1
1539,positive,30-Jul-18,Black  Show,amazing ,1
1540,negative,30-Jul-18,Black  Show,fire hd much   priced pair speakers ,0
1541,neutral,30-Jul-18,Black  Show,seems good product  unable play music sync sonos system  sonos seem recognize ,1
1542,positive,30-Jul-18,Black  Show,great product   like apps connect ,1
1543,positive,30-Jul-18,Black  Show,love able talk grandson ease picture quality great,1
1544,positive,30-Jul-18,Black  Show,love  easy setup  drop in’ daughter son law live st  louis anytime  everyone loves mother drop  right  ,1
1545,positive,30-Jul-18,Black  Show,fun,1
1546,positive,30-Jul-18,White  Show,use control smart home ,1
1547,positive,30-Jul-18,Black  Show,show great  still learning  able watch videos  talk face face others features ,1
1548,positive,30-Jul-18,Black  Show,wish bought one work,1
1549,negative,30-Jul-18,Black  Show,intrusive  turn,0
1550,positive,30-Jul-18,White  Show,love echo show,1
1551,positive,30-Jul-18,Black  Show,works well  thrilled apps paid seprately ,1
1552,positive,30-Jul-18,Black  Show,video calls mom,1
1553,positive,30-Jul-18,White  Show,love able see  well hear things   sound better  ,1
1554,positive,30-Jul-18,Black  Show,love,1
1555,positive,30-Jul-18,Black  Show,like echo  doesn’t disappoint,1
1556,positive,30-Jul-18,Black  Show,nice picture good sound mics sensitive dot  dots hear across house show  said love show watch tv movies tg ed kitchen  news playing music love  ,1
1557,positive,30-Jul-18,White  Show,basically use play music  tell news sometimes hard communicate  dont say command correctly  realize learning style speaking commands even though dont say exactly ,1
1558,negative,30-Jul-18,Black  Show, ,0
1559,positive,30-Jul-18,White  Show,upgraded echo echo show ,1
1560,positive,30-Jul-18,Black  Show,love echo show  dot using last 6 months   show much better   sound quality amazing screen resolution like watching mini 4k tv   love able see timers  events list instead read   purchased prime day  worth every penny   dot given  thought  cute novelty   i'll probably never use  wrong   echo part daily routine   made life much easier ,1
1561,positive,30-Jul-18,Black  Show,far i’m pleased echo show   problem  there’s much haven’t able explore extent abilities  got special price part prime day promotion can’t beat get price   pleased sound  video screen sharp  sometimes takes tries get alexa perform command get know system better  i’m hoping improve   one drawback music i’ve noticed lot songs years past  recordings original artist original recording   example  secret agent man johnny rivers  live version used  original version   i’m going pay prime music i’d like hear original version songs later recordings   least give choice want hear   otherwise  pleased echo show   pleased fact  bought second one ,1
1562,positive,30-Jul-18,Black  Show,like everything    im still learning use ,1
1563,negative,29-Jul-18,Black  Show,like another kid house  constantly repeat tell alexa something clear day  according history  hears something comeletely different device really cool  like concept  gets two stars  however  work intended find irritated often use device ,0
1564,positive,29-Jul-18,White  Show,really easy use,1
1565,positive,29-Jul-18,White  Show,great sound video quality,1
1566,negative,29-Jul-18,Black  Show,way music sounds poor quality,0
1567,positive,29-Jul-18,Black  Show,everything echo   although probably use video functions  hoped display would allow customization  limited  would like clock weather display large text time  displays small text  also always line says  #34 tell alexa  #34  tips bottom screen  would like see go away   sound quality good  good big echo  good enough  bought sale think got value paid  would disappointment paid full price ,1
1568,positive,29-Jul-18,Black  Show,love echo show ,1
1569,positive,29-Jul-18,Black  Show,enjoy thing  learning,1
1570,positive,29-Jul-18,Black  Show,happy see ,1
1571,negative,29-Jul-18,Black  Show,echo devices stopped communicating properly sonos devices upon connecting echo show account  asking echo device play music sonos baffled system previously worked flawlessly  went two weeks eventually solved problem neither amazon sonos could figure ,0
1572,positive,29-Jul-18,White  Show,far  like   better expecting ,1
1573,positive,29-Jul-18,Black  Show,always respond wake word  3rd echo product say little disappointed  alexa voice assistant great comes controlling connected home lot learn google assistant comes  getting answers search queries ,1
1574,positive,29-Jul-18,Black  Show,good product ,1
1575,neutral,29-Jul-18,Black  Show,two weeks sure like ever present alexa screen well   bought abay monitor combined wifi camera  works   screen always unless tell turn   instead talking cylinder mini screen talks also writes everything says shows accompanying video   something audio made alexa different  ways tv talk ,1
1576,negative,29-Jul-18,Black  Show,f  sucks,0
1577,positive,29-Jul-18,White  Show, ,1
1578,positive,29-Jul-18,White  Show,love able read lyrics favorite songs ,1
1579,positive,29-Jul-18,Black  Show,thing awesome grocery lists  paired anylist app  flash briefing good  complaint pause something  alexa decides longer want listen thing  forever   definitely worth purchase ,1
1580,positive,29-Jul-18,Black  Show,works great  video call function nice communicating drop,1
1581,positive,29-Jul-18,Black  Show, ,1
1582,positive,29-Jul-18,Black  Show,see echo show kitchen  far exceeds expectation  there’s wealth information topic  customizable sound video  also echo echo dot  group hole house music  still done exploring love  perfect getting recipes see you’re preparing cook ,1
1583,positive,29-Jul-18,Black  Show,fairly easy use,1
1584,positive,29-Jul-18,Black  Show,absolutely love echo show   awesome works great ring video spotlight cams   music demand many features yet explore ,1
1585,positive,29-Jul-18,White  Show,absolutely love  use everything tell friends clients it’s daughter never  ask something doesn’t complain  wish bought 2package deal   truly needed one work room  kick ,1
1586,positive,29-Jul-18,White  Show,love kitchen  convenient look recipes  listen news  watch prime video i'm cooking,1
1587,negative,29-Jul-18,White  Show,always wanted one till got one  cracked  hard navigate actually like dot better ,0
1588,positive,29-Jul-18,Black  Show,greatest,1
1589,positive,29-Jul-18,Black  Show,love,1
1590,positive,29-Jul-18,Black  Show,fourth echo  original two dots  best  decent speaker  fun graphics ,1
1591,positive,29-Jul-18,Black  Show,loved talking box able easily set ,1
1592,positive,29-Jul-18,Black  Show,easy setup use  ability play video huge addition alexa device family,1
1593,negative,29-Jul-18,Black  Show,echo show said work certain apps  cozi state works echo show  cozi family’s doesn’t well  amazon needs go back drawing board  would needed piece technology  lacks essential  please fix  cost echo show  marvelous   got echo show take shopping list far  adding items list long lag  router slow  provider speed  gb  speed problem  new items updated cozi slow  help needed get updated a1 working conditioning ,0
1594,positive,29-Jul-18,Black  Show,music listen  also movie watch see ring doorbell  ,1
1595,positive,29-Jul-18,Black  Show,enough video options,1
1596,positive,29-Jul-18,White  Show,great sound,1
1597,positive,29-Jul-18,Black  Show,took advantage prime friday decided take chance purchase one   enjoy features comes  i'm sorry purchase two  well worth money   looks great nightstand   every night puts steep sleeping music   happy customer ,1
1598,positive,29-Jul-18,Black  Show,music shopping list sound ,1
1599,positive,29-Jul-18,Black  Show,diversity  many things see hear  wealth information,1
1600,positive,29-Jul-18,Black  Show,love  thanks amazon  guys rock ,1
1601,negative,29-Jul-18,Black  Show,disappointed device able access youtube dec 2017  wasn’t aware purchased  i’ve problems device  voice stops working throughout day  see trying respond  window opens contains info asked  it’s like device gets stuck process  stops working  blue bar flashes  keep unplug restart device   starts working  irritating  device could really great device google amazon would act like grownups ,0
1602,negative,29-Jul-18,Black  Show,returned repair repair done  problem requires defective part show sent repair got back without fixed   site gives option complain page echo spot works perfectly position ,0
1603,positive,29-Jul-18,Black  Show,love ,1
1604,positive,29-Jul-18,Black  Show,like design visuals ,1
1605,positive,29-Jul-18,Black  Show,show long used lot  love  use set timers cooking stove finicky wanting work time  also use check different recipes  listen music time favorite  telling everyone time dinner  son gets real kick know lot people expecting shows possible moment  remember original echo first came  see amazon adding new stuff time soon sure want soon  maybe even things thought wish bit user friendly  still figured video chat cousin north carolina also one  tried call son's dot went video chat immediately  last looked  dots video screens another thing needs addressed husband tried one bedroom play thunderstorm sounds help go sleep  tried get buy app instead playing skill enabled free  bit worried use  needs fixed say happy echo show ,1
1606,positive,29-Jul-18,White  Show,long  first alexa thing  sure like done far lot learn play,1
1607,positive,29-Jul-18,Black  Show,works great fun use ,1
1608,positive,29-Jul-18,White  Show,best echo devices spot dot echo,1
1609,positive,29-Jul-18,Black  Show,large screen really majes enjoyable experience  thing it’s missing youtube ,1
1610,positive,29-Jul-18,Black  Show,easy use ,1
1611,neutral,29-Jul-18,White  Show,bought go security camera system  perform like thought would  alert us someone door  also  can't talk person door echo show  cell phone ,1
1612,negative,29-Jul-18,Black  Show,great device  features awesome  interaction fantastic  home automation works perfect link accounts correctly  issue  4  echo shows  2  sent repair screen glitching  less 3 months old already issues first repairs sent  updated firmware  got device back nothing worked  update newest firmware work   2  weeks later glitch starts love show i’m getting really frustrated glitching ,0
1613,positive,29-Jul-18,Black  Show,super fun   ty expecting,1
1614,positive,29-Jul-18,Black  Show, ,1
1615,positive,29-Jul-18,White  Show,love much  alexa even better show things ,1
1616,positive,29-Jul-18,Black  Show,echo got 2 show  1 daughter  absolutely love  especially video chat ,1
1617,positive,29-Jul-18,Black  Show,i've alexa dot time i'm really enjoying alexa show  great visual whether song weather  played jeapordy  i'm good  learn trivia one's watching  love recipes visible movies available  long enough try everything ,1
1618,positive,29-Jul-18,Black  Show,got amazon prime ring pro  work really great  lazy guy need go see door anymore i'm gaming ,1
1619,positive,29-Jul-18,Black  Show,originally got show video chat family members  works great  found really like checking things hands free like weather recipes  far really liked show  would recommend ,1
1620,positive,29-Jul-18,Black  Show,easy setup  running minutes  learning feature outstanding  know amazon far ahead competition ,1
1621,negative,29-Jul-18,Black  Show,bought product hoping alexa would pretty well developed far enough along  therefore expecting responsive  $100 piece crap doesnt even know respond question amazon told ask   echo buttons manual  see step 3  device potential given big screen  decent sound 200 bucks  would never reccomend  even $100 spent  feel like got shorted  oh lastly  device pretty useless without prime membership  linked personal account thing literally decorated bluetooth speaker  went family account  one  got work minimal  oh  even prime membership  music pass something that's extra 3 99 month  leaving item subscription nightmare  overpriced  decorated bluetooth speaker eyes  would give zero stars could ,0
1622,positive,29-Jul-18,White  Show,quite nice clear  great sound ,1
1623,positive,29-Jul-18,Black  Show,versatile use  watch movies news   able use remote vehicle   use communication hub home   great produc ,1
1624,positive,29-Jul-18,Black  Show,bought two   one one daughter lives another state   love ,1
1625,negative,29-Jul-18,White  Show,family bought several help communicate older parents grandparents need simpler devices full fledged tablet   fantastic potential   digital photo screen  video calls  easy accesss music  audio books  etc  however  setup  discovered huge lurking negative   amazon forces view continous spam home screen promoting alexa features   turn many things settins  cannot turn  #34 things try #34   instead beautiful digital photo screen weather time   constantly spam ad across home screen says   #34 try  #34   amazon  please listen customers offer setting turn spam ,0
1626,positive,29-Jul-18,Black  Show,best part owning mother anti technology uses ease everyday finds new reasons use well  well done ,1
1627,positive,29-Jul-18,Black  Show,it’s second one  put one kitchen recipes ,1
1628,positive,29-Jul-18,White  Show,echo show perfect staging kitchen recipes right  need print  wonderful device  acoustical sounds powerful tall cylindercal echo covered adjacent family room ,1
1629,positive,29-Jul-18,Black  Show,great fun frustrating times  commands tv show get mixed  asking watch something turn directv  display show stinks 8 year old  also would like video options flash briefings  still really tech wonder low price ,1
1630,positive,29-Jul-18,Black  Show,love play music see lyrics   connected echo dot enjoy listening multiple rooms ,1
1631,neutral,29-Jul-18,Black  Show,love alexa chance add show home  jumped    i'm member show know paid extras echo  upstairs bedroom   supposed pay show added home  i'm afraid ask  #34 what's point #34 ,1
1632,positive,29-Jul-18,White  Show,purchased  #34 personal #34  contact vehicle engaging long distance grandchildren  works perfectly every regard  resolution sound better expected  highly recommend ,1
1633,positive,29-Jul-18,Black  Show,works well  pictures awesome  sound could better  must bandwidth alexa devices whole home music  2 4ghz vs 5ghz ,1
1634,positive,29-Jul-18,Black  Show,pleased echo show  sound music words tunes news weather  color screen photos could better ,1
1635,positive,29-Jul-18,White  Show,echo show personal assistant  awesome ,1
1636,positive,29-Jul-18,Black  Show,packaging beautiful  2 dots echo plus already  show love  echo room also say  #34 alexa  turn screen #34  go black  good sleeping ,1
1637,neutral,29-Jul-18,White  Show,ability respond accuracy variety information provided google search spoiled originally expected see type search engine echo  ability alexa provide detailed information part package perhaps improvements offing updates ,1
1638,positive,29-Jul-18,White  Show,daughter echo show told much loved  bought white one kitchen absolutely love   features others plus great extras  sound system awesome  also original echo tower  dots spot  great uses around house  highly recommend products ,1
1639,positive,29-Jul-18,Black  Show,really like show feature  also like video calls others ,1
1640,positive,29-Jul-18,Black  Show,love device   bought simple alarm clock amazon echo prime day price beat    sonos big ass fan lights able control device   perfect getting better time ,1
1641,positive,29-Jul-18,Black  Show,ase participating echo,1
1642,neutral,29-Jul-18,Black  Show,like weather options alexa search compacity needs improvement  aint google  alexa gets requests probably around 20  time  currently alexa youtube either  huge drawback echo show dropped price   international radio via tune awesome search engine  like pulling teeth get anything ,1
1643,positive,29-Jul-18,Black  Show,love ,1
1644,positive,29-Jul-18,Black  Show,love  still figured best things ,1
1645,positive,29-Jul-18,White  Show,easy use  answers questions hands free  what's like   may perfect  sign times come  connected smart home items  enjoy totallly  keeps home connected,1
1646,positive,29-Jul-18,Black  Show,product amazing  love  best buy  thing missing bluetooth,1
1647,positive,29-Jul-18,Black  Show,it’s great,1
1648,positive,29-Jul-18,Black  Show,echo show works great  enjoy  much ,1
1649,positive,29-Jul-18,Black  Show,works blink video cameras   work tube ,1
1650,positive,29-Jul-18,Black  Show,love simple set love fact answers questions bought one everybody family like jetsons,1
1651,positive,28-Jul-18,Black  Show,draw back stops every awhile middle song  ,1
1652,positive,28-Jul-18,Black  Show,great product ,1
1653,positive,28-Jul-18,Black  Show,echo teacher english  funny sometimes listen said ,1
1654,positive,28-Jul-18,Black  Show,ight,1
1655,positive,28-Jul-18,White  Show,awesome product  process every room house set automation show favorite device ,1
1656,positive,28-Jul-18,Black  Show,we’ve original echo quite time recently added show   simple setup inviting use visual interface   echo used primary interface connected home system currently controlling lights switches   look forward expanding capability   also use maintaining lists  music player  general information  entertainment   haven’t used show shuffle favorite  photographs start soon ,1
1657,positive,28-Jul-18,Black  Show,things great ,1
1658,positive,28-Jul-18,Black  Show,bought two  one kitchen sewing room  great need recipe need know something   still learning everything ,1
1659,positive,28-Jul-18,Black  Show,love shows song info screen playing  also time  notifications  news  etc ,1
1660,positive,28-Jul-18,Black  Show,alexa takes getting used  picture quality great  touch screen responsive smooth  speakers better expected wellfour stars five,1
1661,positive,28-Jul-18,White  Show,love,1
1662,neutral,28-Jul-18,White  Show,like option white  it’s bizarre comes black cord  white kitchen  stands like sore thumb black power cord  aesthetic purposes  happier year old white echo  show  came white powercord  seems like major design flaw  white  option  strongly urge amazon change powercord white ,1
1663,positive,28-Jul-18,Black  Show,pleased echo show  love many nice features  highly recommend ,1
1664,positive,28-Jul-18,Black  Show,ease set overall functionality makes echo show worth every penny   especially like setting background screen able set affirmations use personalized reminders ,1
1665,positive,28-Jul-18,Black  Show,love   wanted primarily kitchen   addition common services wanted use allrecipes cook's illustrated recipes,1
1666,positive,28-Jul-18,Black  Show,easy use  great recipes  listen music  see movies  movie trailers  much ,1
1667,positive,28-Jul-18,Black  Show,love able see information alexa gives   notifications turned lets know order delivered also tells order  use echo screen pull details orders  use alexa skill make calls uhyour echo ,1
1668,positive,28-Jul-18,White  Show,great sound video ,1
1669,positive,28-Jul-18,Black  Show,really like ,1
1670,positive,28-Jul-18,White  Show,love echo show  listen music  get recipes  much  highly recommend echo everyone ,1
1671,positive,28-Jul-18,Black  Show,easy set  plug make selections preferences language  temp c f etc  getting familiar adding calendar appointments ,1
1672,positive,28-Jul-18,Black  Show,like variety stuff echo show offers ,1
1673,positive,28-Jul-18,Black  Show,love ,1
1674,positive,28-Jul-18,Black  Show,wish internet searches   like feature,1
1675,positive,28-Jul-18,Black  Show,bought visiting friend one great   understand frustration youtube though   still good love seeing words songs ring doorbell never get chair laziness best   lol   great product good speakers ,1
1676,positive,28-Jul-18,White  Show,good smart home gadget ,1
1677,positive,28-Jul-18,Black  Show,love speakers screen ,1
1678,negative,28-Jul-18,White  Show,youtube,0
1679,positive,28-Jul-18,Black  Show,loved everything item  quick response time sensitive speaking end house ,1
1680,positive,28-Jul-18,Black  Show,bought mother,1
1681,positive,28-Jul-18,Black  Show,great  would better way use headphones ,1
1682,positive,28-Jul-18,White  Show,far good   much better sound echo dot,1
1683,positive,28-Jul-18,Black  Show,clear screen great picture,1
1684,positive,28-Jul-18,Black  Show,love  compatible many cameras everything echo dot ,1
1685,positive,28-Jul-18,Black  Show,kitchen  great news music  video call daughter grand kids  really dig ,1
1686,positive,28-Jul-18,Black  Show,absolutely love thing  love amazon echo show went bonkers took brief chat voila  new one replace way  floored screen started blurring shaking jumping missing part data  alexa still talked watch movies  happy amazon easy deal makes good products without hassle ,1
1687,positive,28-Jul-18,Black  Show,works well recipes references  nice device  right size ,1
1688,positive,28-Jul-18,Black  Show,works well,1
1689,negative,28-Jul-18,White  Show,works fine  realize don’t need don’t use ,0
1690,positive,28-Jul-18,Black  Show,screen  microphones  speaker  alexa lives inside   yup echo show   expectations met ,1
1691,positive,28-Jul-18,Black  Show,user friendly,1
1692,positive,28-Jul-18,Black  Show, ,1
1693,positive,28-Jul-18,Black  Show,let’s start dislikes  want buy 7 house even need add likes  hahaawesome fun useful  nothing else say ,1
1694,positive,28-Jul-18,White  Show,outstanding piece technology  use everyday information  scheduling general information   awesome amazon  keep improving ai ,1
1695,positive,28-Jul-18,Black  Show,impulse buy super happy made purchase  love much immediately bought parents one  video chat easily  love features easy use set ,1
1696,positive,28-Jul-18,Black  Show,like,1
1697,positive,28-Jul-18,Black  Show,great product  great price prime day   thanks alexa ,1
1698,positive,28-Jul-18,Black  Show,still trying figure link bluetooth speaker ,1
1699,positive,28-Jul-18,Black  Show,wish skills,1
1700,positive,28-Jul-18,Black  Show,still learning  started integrating smart devices home echo product line  show  spot  two dots kids dot  trouble getting call still working ,1
1701,positive,28-Jul-18,Black  Show,great improvement original echo   like ability see lyrics songs  watch prime tv get visuals   little hints things try appears across bottom sparks imagination ,1
1702,positive,28-Jul-18,White  Show,love ,1
1703,positive,28-Jul-18,Black  Show,sound great video great  need learn everything  see videos  youtube  listen music  watch news,1
1704,positive,28-Jul-18,White  Show,great addition alexa family  great video also ,1
1705,neutral,28-Jul-18,Black  Show,belong amazon prime  would think could watch video library   prime music,1
